location	animal	user	sn	vtename	expdur	period	smllarthr	inasmlthr	jitter	starttyp	comment	an	start	noscnt	nosdur	smldur	smldist	lardur	lardist
OPF02	animal  2	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	420	3	0.1				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	420			56	460.1	1.1	39.2
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	420	0	0				
OPF03	animal  3	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	420	0	0				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	420			51.6	507.4	3.4	107.9
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	420	5	1.4				
OPF04	animal  4	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	420	7	1.8				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		0	480			56.6	541.8	1	29.7
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		2	480	3	2.5				
OPF01	animal  1	VID\Videotrack_user	1	C:\Documents and Settings\Videotrack_user\My Documents\My Videotrack Protocols\Connie\NOR for 11 months Bmal\10_19_17_3months_BmalKO_traing.vte	00 / 00:10:00	60	25	1	0	All locations by camera with background		3	480	5	2.5				
